setname	LRT_pvalue	UNI_pvalue
YCR039C	0	0
YCR040W	0	0
YCR041W	0	0
YCR051W	0	0
YCR052W	0	0
YCR060W	0	0
YCR061W	0	0
YCR064C	0	0
YCR071C	0	0
YCR073C	0	0
YCR077C	0	0
YCR082W	0	0
YCR083W	0	0
YCR084C	0	0
YCR086W	0	0
YCR087W	0	0
YCR097W	0	0
YCR098C	0	0
YCR099C	0	0
YCR100C	0	0
YCR104W	0	0
YDL001W	0	0
YDL004W	0	0
YDL005C	0	0
YDL006W	0	0
YDL008W	0	0
YDL010W	0	0
YDL012C	0	0
YDL017W	0	0
YDL020C	0	0
YDL039C	0	0
YDL045W-A	0	0
YDL046W	0	0
YDL047W	0	0
YDL048C	0	0
YDL053C	0	0
YDL066W	0	0
YDL079C	0	0
YDL082W	0	0
YDL084W	0	0
YDL085C-A	0	0
YDL086C-A	0	0
YDL086W	0	0
YDL087C	0	0
YDL088C	0	0
YDL089W	0	0
YDL091C	0	0
YDL092W	0	0
YDL098C	0	0
YDL100C	0	0
YDL103C	0	0
YDL104C	0	0
YDL107W	0	0
YDL110C	0	0
YDL120W	0	0
YDL124W	0	0
YDL125C	0	0
YDL126C	0	0
YDL127W	0	0
YDL131W	0	0
YDL132W	0	0
YDL133W	0	0
YDL134C	0	0
YDL135C	0	0
YDL137W	0	0
YDL138W	0	0
YDL139C	0	0
YDL141W	0	0
YDL143W	0	0
YDL144C	0	0
YDL146W	0	0
YDL147W	0	0
YDL155W	0	0
YDL157C	0	0
YDL158C	0	0
YDL160C	0	0
YDL160C-A	0	0
YDL166C	0	0
YDL168W	0	0
YDL169C	0	0
YDL173W	0	0
YDL174C	0	0
YDL176W	0	0
YDL180W	0	0
YDL182W	0	0
YDL187C	0	0
YDL189W	0	0
YDL193W	0	0
YDL195W	0	0
YDL197C	0	0
YDL202W	0	0
YDL207W	0	0
YDL209C	0	0
YDL212W	0	0
YDL213C	0	0
YDL214C	0	0
YDL216C	0	0
YDL217C	0	0
YDL219W	0	0
YDL226C	0	0
YDL227C	0	0
YDL231C	0	0
YDL235C	0	0
YDL236W	0	0
YDL237W	0	0
YDL239C	0	0
YDL241W	0	0
YDR005C	0	0
YDR009W	0	0
YDR019C	0	0
YDR033W	0	0
YDR034C-D	0	0
YDR038C	0	0
YDR039C	0	0
YDR040C	0	0
YDR043C	0	0
YDR044W	0	0
YDR047W	0	0
YDR049W	0	0
YDR058C	0	0
YDR063W	0	0
YDR064W	0	0
YDR068W	0	0
YDR071C	0	0
YDR072C	0	0
YDR073W	0	0
YDR078C	0	0
YDR079C-A	0	0
YDR079W	0	0
YDR084C	0	0
YDR085C	0	0
YDR086C	0	0
YDR087C	0	0
YDR089W	0	0
YDR090C	0	0
YDR091C	0	0
YDR098C-A	0	0
YDR098C-B	0	0
YDR100W	0	0
YDR117C	0	0
YDR119W	0	0
YDR121W	0	0
YDR122W	0	0
YDR126W	0	0
YDR132C	0	0
YDR133C	0	0
YDR139C	0	0
YDR140W	0	0
YDR144C	0	0
YDR145W	0	0
YDR147W	0	0
YDR154C	0	0
YDR155C	0	0
YDR156W	0	0
YDR161W	0	0
YDR164C	0	0
YDR169C	0	0
YDR173C	0	0
YDR177W	0	0
YDR182W-A	0	0
YDR185C	0	0
YDR188W	0	0
YDR192C	0	0
YDR201W	0	0
YDR205W	0	0
YDR207C	0	0
YDR209C	0	0
YDR210C-D	0	0
YDR210W	0	0
YDR210W-B	0	0
YDR231C	0	0
YDR232W	0	0
YDR233C	0	0
YDR237W	0	0
YDR247W	0	0
YDR259C	0	0
YDR261C-D	0	0
YDR261W-B	0	0
YDR262W	0	0
YDR263C	0	0
YDR264C	0	0
YDR265W	0	0
YDR268W	0	0
YDR272W	0	0
YDR273W	0	0
YDR276C	0	0
YDR288W	0	0
YDR294C	0	0
YDR295C	0	0
YDR297W	0	0
YDR298C	0	0
YDR304C	0	0
YDR307W	0	0
YDR320C	0	0
YDR320C-A	0	0
YDR321W	0	0
YDR323C	0	0
YDR338C	0	0
YDR339C	0	0
YDR341C	0	0
YDR349C	0	0
YDR352W	0	0
YDR354W	0	0
YDR357C	0	0
YDR365C	0	0
YDR365W-B	0	0
YDR366C	0	0
YDR367W	0	0
YDR371W	0	0
YDR372C	0	0
YDR378C	0	0
YDR385W	0	0
YDR389W	0	0
YDR393W	0	0
YDR399W	0	0
YDR403W	0	0
YDR404C	0	0
YDR405W	0	0
YDR406W	0	0
YDR421W	0	0
YDR422C	0	0
YDR423C	0	0
YDR433W	0	0
YDR439W	0	0
YDR440W	0	0
YDR441C	0	0
YDR443C	0	0
YDR444W	0	0
YDR445C	0	0
YDR448W	0	0
YDR451C	0	0
YDR461W	0	0
YDR468C	0	0
YDR469W	0	0
YDR472W	0	0
YDR478W	0	0
YDR487C	0	0
YDR489W	0	0
YDR497C	0	0
YDR504C	0	0
YDR505C	0	0
YDR510W	0	0
YDR511W	0	0
YDR512C	0	0
YDR514C	0	0
YDR515W	0	0
YDR524C	0	0
YDR525W-A	0	0
YDR529C	0	0
YDR530C	0	0
YDR531W	0	0
YDR533C	0	0
YDR539W	0	0
YDR541C	0	0
YDR545W	0	0
YEL006W	0	0
YEL007W	0	0
YEL009C	0	0
YEL017W	0	0
YEL020W-A	0	0
YEL021W	0	0
YEL027W	0	0
YEL028W	0	0
YEL037C	0	0
YEL038W	0	0
YEL039C	0	0
YEL040W	0	0
YEL041W	0	0
YEL049W	0	0
YEL050C	0	0
YEL051W	0	0
YEL052W	0	0
YEL056W	0	0
YEL057C	0	0
YEL059C-A	0	0
YEL060C	0	0
YEL062W	0	0
YEL067C	0	0
YEL068C	0	0
YEL072W	0	0
YEL073C	0	0
YEL074W	0	0
YEL076C	0	0
YEL077C	0	0
YER004W	0	0
YER010C	0	0
YER017C	0	0
YER018C	0	0
YER019C-A	0	0
YER019W	0	0
YER020W	0	0
YER021W	0	0
YER024W	0	0
YER025W	0	0
YER026C	0	0
YER027C	0	0
YER029C	0	0
YER030W	0	0
YER031C	0	0
YER034W	0	0
YER035W	0	0
YER037W	0	0
YER039C	0	0
YER044C	0	0
YER044C-A	0	0
YER046W	0	0
YER048C	0	0
YER048W-A	0	0
YER049W	0	0
YER050C	0	0
YER051W	0	0
YER057C	0	0
YER070W	0	0
YER076C	0	0
YER081W	0	0
YER086W	0	0
YER087C-B	0	0
YER088C-A	0	0
YER089C	0	0
YER098W	0	0
YER104W	0	0
YER107C	0	0
YER115C	0	0
YER116C	0	0
YER119C	0	0
YER120W	0	0
YER124C	0	0
YER125W	0	0
YER138C	0	0
YER139C	0	0
YER140W	0	0
YER144C	0	0
YER145C	0	0
YER146W	0	0
YER157W	0	0
YER160C	0	0
YER162C	0	0
YER163C	0	0
YER164W	0	0
YER170W	0	0
YER174C	0	0
YER178W	0	0
YER180C	0	0
YER183C	0	0
YER184C	0	0
YER185W	0	0
YER186C	0	0
YER187W	0	0
YFL001W	0	0
YFL002W-A	0	0
YFL004W	0	0
YFL008W	0	0
YFL009W	0	0
YFL010C	0	0
YFL013C	0	0
YFL014W	0	0
YFL016C	0	0
YFL017C	0	0
YFL017W-A	0	0
YFL018C	0	0
YFL021W	0	0
YFL022C	0	0
YFL025C	0	0
YFL029C	0	0
YFL033C	0	0
YFL034C-B	0	0
YFL036W	0	0
YFL044C	0	0
YFL045C	0	0
YFL046W	0	0
YFL047W	0	0
YFL048C	0	0
YFL049W	0	0
YFL052W	0	0
YFL054C	0	0
YFL055W	0	0
YFL056C	0	0
YFL059W	0	0
YFL060C	0	0
YFR004W	0	0
YFR005C	0	0
YFR006W	0	0
YFR009W	0	0
YFR010W	0	0
YFR011C	0	0
YFR014C	0	0
YFR020W	0	0
YFR025C	0	0
YFR026C	0	0
YFR031C-A	0	0
YFR032C-A	0	0
YFR034C	0	0
YFR034W-A	0	0
YFR036W	0	0
YFR037C	0	0
YFR042W	0	0
YGL001C	0	0
YGL002W	0	0
YGL005C	0	0
YGL010W	0	0
YGL011C	0	0
YGL016W	0	0
YGL017W	0	0
YGL018C	0	0
YGL019W	0	0
YGL020C	0	0
YGL021W	0	0
YGL025C	0	0
YGL027C	0	0
YGL033W	0	0
YGL035C	0	0
YGL045W	0	0
YGL047W	0	0
YGL049C	0	0
YGL050W	0	0
YGL051W	0	0
YGL053W	0	0
YGL055W	0	0
YGL056C	0	0
YGL057C	0	0
YGL063W	0	0
YGL066W	0	0
YGL067W	0	0
YGL070C	0	0
YGL072C	0	0
YGL076C	0	0
YGL077C	0	0
YGL078C	0	0
YGL080W	0	0
YGL081W	0	0
YGL083W	0	0
YGL086W	0	0
YGL096W	0	0
YGL104C	0	0
YGL105W	0	0
YGL106W	0	0
YGL112C	0	0
YGL115W	0	0
YGL117W	0	0
YGL122C	0	0
YGL124C	0	0
YGL125W	0	0
YGL126W	0	0
YGL136C	0	0
YGL153W	0	0
YGL162W	0	0
YGL163C	0	0
YGL166W	0	0
YGL169W	0	0
YGL173C	0	0
YGL174W	0	0
YGL177W	0	0
YGL179C	0	0
YGL181W	0	0
YGL185C	0	0
YGL186C	0	0
YGL187C	0	0
YGL190C	0	0
YGL193C	0	0
YGL195W	0	0
YGL196W	0	0
YGL198W	0	0
YGL200C	0	0
YGL202W	0	0
YGL203C	0	0
YGL204C	0	0
YGL205W	0	0
YGL207W	0	0
YGL208W	0	0
YGL211W	0	0
YGL215W	0	0
YGL216W	0	0
YGL219C	0	0
YGL220W	0	0
YGL221C	0	0
YGL222C	0	0
YGL223C	0	0
YGL225W	0	0
YGL226W	0	0
YGL234W	0	0
YGL236C	0	0
YGL241W	0	0
YGL248W	0	0
YGL251C	0	0
YGL252C	0	0
YGL253W	0	0
YGL254W	0	0
YGR001C	0	0
YGR005C	0	0
YGR006W	0	0
YGR015C	0	0
YGR019W	0	0
YGR020C	0	0
YGR023W	0	0
YGR026W	0	0
YGR027C	0	0
YGR027W-B	0	0
YGR030C	0	0
YGR035C	0	0
YGR038C-A	0	0
YGR038W	0	0
YGR039W	0	0
YGR040W	0	0
YGR041W	0	0
YGR043C	0	0
YGR044C	0	0
YGR046W	0	0
YGR049W	0	0
YGR050C	0	0
YGR052W	0	0
YGR055W	0	0
YGR062C	0	0
YGR063C	0	0
YGR078C	0	0
YGR089W	0	0
YGR108W	0	0
YGR109W-B	0	0
YGR110W	0	0
YGR121C	0	0
YGR131W	0	0
YGR147C	0	0
YGR151C	0	0
YGR155W	0	0
YGR157W	0	0
YGR158C	0	0
YGR161C-D	0	0
YGR161W-B	0	0
YGR161W-C	0	0
YGR166W	0	0
YGR167W	0	0
YGR177C	0	0
YGR178C	0	0
YGR179C	0	0
YGR180C	0	0
YGR181W	0	0
YGR183C	0	0
YGR184C	0	0
YGR192C	0	0
YGR193C	0	0
YGR197C	0	0
YGR202C	0	0
YGR207C	0	0
YGR222W	0	0
YGR223C	0	0
YGR227W	0	0
YGR230W	0	0
YGR233C	0	0
YGR234W	0	0
YGR235C	0	0
YGR236C	0	0
YGR238C	0	0
YGR239C	0	0
YGR246C	0	0
YGR248W	0	0
YGR251W	0	0
YGR252W	0	0
YGR256W	0	0
YGR262C	0	0
YGR263C	0	0
YGR267C	0	0
YGR278W	0	0
YGR279C	0	0
YGR281W	0	0
YGR282C	0	0
YGR285C	0	0
YGR286C	0	0
YGR287C	0	0
YGR288W	0	0
YGR289C	0	0
YHL001W	0	0
YHL003C	0	0
YHL006C	0	0
YHL008C	0	0
YHL009C	0	0
YHL009W-B	0	0
YHL014C	0	0
YHL016C	0	0
YHL017W	0	0
YHL019C	0	0
YHL020C	0	0
YHL022C	0	0
YHL023C	0	0
YHL024W	0	0
YHL025W	0	0
YHL027W	0	0
YHL032C	0	0
YHL035C	0	0
YHL042W	0	0
YHL044W	0	0
YHL047C	0	0
YHL048W	0	0
YHL049C	0	0
YHR001W	0	0
YHR005C	0	0
YHR007C	0	0
YHR009C	0	0
YHR013C	0	0
YHR015W	0	0
YHR017W	0	0
YHR022C	0	0
YHR026W	0	0
YHR027C	0	0
YHR028C	0	0
YHR030C	0	0
YHR032W	0	0
YHR033W	0	0
YHR034C	0	0
YHR035W	0	0
YHR036W	0	0
YHR037W	0	0
YHR038W	0	0
YHR039C	0	0
YHR039C-A	0	0
YHR040W	0	0
YHR042W	0	0
YHR043C	0	0
YHR044C	0	0
YHR045W	0	0
YHR046C	0	0
YHR052W	0	0
YHR053C	0	0
YHR054C	0	0
YHR055C	0	0
YHR057C	0	0
YHR058C	0	0
YHR059W	0	0
YHR060W	0	0
YHR062C	0	0
YHR064C	0	0
YHR068W	0	0
YHR072W	0	0
YHR073W	0	0
YHR094C	0	0
YHR096C	0	0
YHR104W	0	0
YHR108W	0	0
YHR109W	0	0
YHR113W	0	0
YHR114W	0	0
YHR115C	0	0
YHR117W	0	0
YHR128W	0	0
YHR134W	0	0
YHR140W	0	0
YHR142W	0	0
YHR143W-A	0	0
YHR145C	0	0
YHR146W	0	0
YHR147C	0	0
YHR152W	0	0
YHR155W	0	0
YHR157W	0	0
YHR158C	0	0
YHR161C	0	0
YHR163W	0	0
YHR167W	0	0
YHR168W	0	0
YHR175W	0	0
YHR177W	0	0
YHR178W	0	0
YHR179W	0	0
YHR182W	0	0
YHR184W	0	0
YHR190W	0	0
YHR194W	0	0
YHR201C	0	0
YHR205W	0	0
YHR208W	0	0
YHR210C	0	0
YHR211W	0	0
YIL009C-A	0	0
YIL009W	0	0
YIL010W	0	0
YIL011W	0	0
YIL014C-A	0	0
YIL014W	0	0
YIL022W	0	0
YIL033C	0	0
YIL037C	0	0
YIL039W	0	0
YIL041W	0	0
YIL043C	0	0
YIL044C	0	0
YIL046W	0	0
YIL047C	0	0
YIL047C-A	0	0
YIL048W	0	0
YIL049W	0	0
YIL052C	0	0
YIL055C	0	0
YIL059C	0	0
YIL061C	0	0
YIL064W	0	0
YIL065C	0	0
YIL073C	0	0
YIL074C	0	0
YIL085C	0	0
YIL087C	0	0
YIL088C	0	0
YIL089W	0	0
YIL090W	0	0
YIL094C	0	0
YIL098C	0	0
YIL099W	0	0
YIL101C	0	0
YIL102C-A	0	0
YIL103W	0	0
YIL104C	0	0
YIL106W	0	0
YIL111W	0	0
YIL114C	0	0
YIL116W	0	0
YIL118W	0	0
YIL122W	0	0
YIL123W	0	0
YIL124W	0	0
YIL125W	0	0
YIL126W	0	0
YIL128W	0	0
YIL130W	0	0
YIL131C	0	0
YIL133C	0	0
YIL134W	0	0
YIL136W	0	0
YIL137C	0	0
YIL145C	0	0
YIL148W	0	0
YIL152W	0	0
YIL153W	0	0
YIL154C	0	0
YIL155C	0	0
YIL156W	0	0
YIL158W	0	0
YIL160C	0	0
YIL161W	0	0
YIL162W	0	0
YIL166C	0	0
YIR004W	0	0
YIR016W	0	0
YIR017C	0	0
YIR019C	0	0
YIR020C	0	0
YIR021W	0	0
YIR022W	0	0
YIR025W	0	0
YIR026C	0	0
YIR027C	0	0
YIR028W	0	0
YIR029W	0	0
YIR030C	0	0
YIR031C	0	0
YIR032C	0	0
YIR034C	0	0
YIR039C	0	0
YJL001W	0	0
YJL002C	0	0
YJL006C	0	0
YJL008C	0	0
YJL014W	0	0
YJL019W	0	0
YJL020C	0	0
YJL023C	0	0
YJL024C	0	0
YJL031C	0	0
YJL035C	0	0
YJL036W	0	0
YJL037W	0	0
YJL044C	0	0
YJL048C	0	0
YJL051W	0	0
YJL053W	0	0
YJL055W	0	0
YJL056C	0	0
YJL057C	0	0
YJL062W-A	0	0
YJL065C	0	0
YJL070C	0	0
YJL078C	0	0
YJL083W	0	0
YJL099W	0	0
YJL103C	0	0
YJL104W	0	0
YJL106W	0	0
YJL115W	0	0
YJL116C	0	0
YJL117W	0	0
YJL118W	0	0
YJL119C	0	0
YJL122W	0	0
YJL123C	0	0
YJL124C	0	0
YJL132W	0	0
YJL133W	0	0
YJL139C	0	0
YJL140W	0	0
YJL147C	0	0
YJL151C	0	0
YJL154C	0	0
YJL156C	0	0
YJL159W	0	0
YJL161W	0	0
YJL163C	0	0
YJL164C	0	0
YJL171C	0	0
YJL172W	0	0
YJL173C	0	0
YJL177W	0	0
YJL178C	0	0
YJL179W	0	0
YJL180C	0	0
YJL181W	0	0
YJL183W	0	0
YJL184W	0	0
YJL185C	0	0
YJL187C	0	0
YJL190C	0	0
YJL191W	0	0
YJL192C	0	0
YJL193W	0	0
YJL198W	0	0
YJL199C	0	0
YJL200C	0	0
YJL201W	0	0
YJL204C	0	0
YJL205C	0	0
YJL210W	0	0
YJL212C	0	0
YJL213W	0	0
YJL216C	0	0
YJL217W	0	0
YJL221C	0	0
YJR001W	0	0
YJR005C-A	0	0
YJR006W	0	0
YJR008W	0	0
YJR009C	0	0
YJR010C-A	0	0
YJR012C	0	0
YJR014W	0	0
YJR015W	0	0
YJR016C	0	0
YJR017C	0	0
YJR021C	0	0
YJR022W	0	0
YJR025C	0	0
YJR027W	0	0
YJR028W	0	0
YJR029W	0	0
YJR032W	0	0
YJR033C	0	0
YJR035W	0	0
YJR039W	0	0
YJR040W	0	0
YJR044C	0	0
YJR045C	0	0
YJR047C	0	0
YJR049C	0	0
YJR050W	0	0
YJR055W	0	0
YJR056C	0	0
YJR057W	0	0
YJR060W	0	0
YJR061W	0	0
YJR069C	0	0
YJR072C	0	0
YJR073C	0	0
YJR074W	0	0
YJR075W	0	0
YJR078W	0	0
YJR079W	0	0
YJR082C	0	0
YJR087W	0	0
YJR088C	0	0
YJR091C	0	0
YJR093C	0	0
YJR094C	0	0
YJR094W-A	0	0
YJR095W	0	0
YJR096W	0	0
YJR098C	0	0
YJR099W	0	0
YJR102C	0	0
YJR104C	0	0
YJR107W	0	0
YJR108W	0	0
YJR112W-A	0	0
YJR113C	0	0
YJR116W	0	0
YJR117W	0	0
YJR122W	0	0
YJR125C	0	0
YJR127C	0	0
YJR129C	0	0
YJR131W	0	0
YJR132W	0	0
YJR138W	0	0
YJR143C	0	0
YJR144W	0	0
YJR148W	0	0
YJR149W	0	0
YJR152W	0	0
YJR156C	0	0
YKL005C	0	0
YKL006W	0	0
YKL008C	0	0
YKL010C	0	0
YKL011C	0	0
YKL013C	0	0
YKL016C	0	0
YKL017C	0	0
YKL018W	0	0
YKL021C	0	0
YKL022C	0	0
YKL023C-A	0	0
YKL023W	0	0
YKL024C	0	0
YKL027W	0	0
YKL031W	0	0
YKL033W-A	0	0
YKL040C	0	0
YKL041W	0	0
YKL045W	0	0
YKL052C	0	0
YKL059C	0	0
YKL063C	0	0
YKL064W	0	0
YKL065C	0	0
YKL068W	0	0
YKL068W-A	0	0
YKL080W	0	0
YKL085W	0	0
YKL089W	0	0
YKL090W	0	0
YKL093W	0	0
YKL096W	0	0
YKL096W-A	0	0
YKL103C	0	0
YKL105C	0	0
YKL106W	0	0
YKL107W	0	0
YKL109W	0	0
YKL110C	0	0
YKL112W	0	0
YKL113C	0	0
YKL114C	0	0
YKL116C	0	0
YKL117W	0	0
YKL119C	0	0
YKL122C	0	0
YKL123W	0	0
YKL124W	0	0
YKL126W	0	0
YKL127W	0	0
YKL130C	0	0
YKL132C	0	0
YKL138C-A	0	0
YKL139W	0	0
YKL140W	0	0
YKL144C	0	0
YKL146W	0	0
YKL148C	0	0
YKL157W	0	0
YKL159C	0	0
YKL160W	0	0
YKL161C	0	0
YKL162C	0	0
YKL162C-A	0	0
YKL166C	0	0
YKL170W	0	0
YKL174C	0	0
YKL183W	0	0
YKL185W	0	0
YKL186C	0	0
YKL189W	0	0
YKL192C	0	0
YKL193C	0	0
YKL194C	0	0
YKL196C	0	0
YKL201C	0	0
YKL202W	0	0
YKL206C	0	0
YKL207W	0	0
YKL208W	0	0
YKL210W	0	0
YKL213C	0	0
YKL214C	0	0
YKL217W	0	0
YKL222C	0	0
YKR002W	0	0
YKR003W	0	0
YKR010C	0	0
YKR012C	0	0
YKR013W	0	0
YKR014C	0	0
YKR017C	0	0
YKR019C	0	0
YKR021W	0	0
YKR023W	0	0
YKR026C	0	0
YKR031C	0	0
YKR034W	0	0
YKR035W-A	0	0
YKR036C	0	0
YKR038C	0	0
YKR039W	0	0
YKR040C	0	0
YKR041W	0	0
YKR042W	0	0
YKR045C	0	0
YKR049C	0	0
YKR051W	0	0
YKR052C	0	0
YKR053C	0	0
YKR055W	0	0
YKR059W	0	0
YKR062W	0	0
YKR065C	0	0
YKR067W	0	0
YKR068C	0	0
YKR069W	0	0
YKR070W	0	0
YKR075C	0	0
YKR083C	0	0
YKR085C	0	0
YKR087C	0	0
YKR088C	0	0
YKR089C	0	0
YKR090W	0	0
YKR093W	0	0
YKR095W-A	0	0
YKR097W	0	0
YKR101W	0	0
YLL001W	0	0
YLL007C	0	0
YLL010C	0	0
YLL012W	0	0
YLL013C	0	0
YLL014W	0	0
YLL017W	0	0
YLL019C	0	0
YLL020C	0	0
YLL023C	0	0
YLL024C	0	0
YLL025W	0	0
YLL026W	0	0
YLL028W	0	0
YLL029W	0	0
YLL040C	0	0
YLL042C	0	0
YLL043W	0	0
YLL045C	0	0
YLL052C	0	0
YLL053C	0	0
YLL055W	0	0
YLL057C	0	0
YLL059C	0	0
YLL060C	0	0
YLL063C	0	0
YLR001C	0	0
YLR006C	0	0
YLR011W	0	0
YLR019W	0	0
YLR022C	0	0
YLR025W	0	0
YLR027C	0	0
YLR031W	0	0
YLR035C-A	0	0
YLR036C	0	0
YLR043C	0	0
YLR046C	0	0
YLR047C	0	0
YLR049C	0	0
YLR050C	0	0
YLR052W	0	0
YLR054C	0	0
YLR055C	0	0
YLR056W	0	0
YLR057W	0	0
YLR058C	0	0
YLR059C	0	0
YLR064W	0	0
YLR065C	0	0
YLR067C	0	0
YLR070C	0	0
YLR073C	0	0
YLR078C	0	0
YLR083C	0	0
YLR089C	0	0
YLR090W	0	0
YLR093C	0	0
YLR094C	0	0
YLR098C	0	0
YLR107W	0	0
YLR110C	0	0
YLR113W	0	0
YLR118C	0	0
YLR119W	0	0
YLR120C	0	0
YLR121C	0	0
YLR133W	0	0
YLR140W	0	0
YLR141W	0	0
YLR146W-A	0	0
YLR151C	0	0
YLR152C	0	0
YLR158C	0	0
YLR160C	0	0
YLR165C	0	0
YLR168C	0	0
YLR172C	0	0
YLR173W	0	0
YLR174W	0	0
YLR178C	0	0
YLR179C	0	0
YLR180W	0	0
YLR181C	0	0
YLR183C	0	0
YLR188W	0	0
YLR189C	0	0
YLR200W	0	0
YLR201C	0	0
YLR202C	0	0
YLR206W	0	0
YLR207W	0	0
YLR214W	0	0
YLR215C	0	0
YLR219W	0	0
YLR227C	0	0
YLR227W-B	0	0
YLR228C	0	0
YLR231C	0	0
YLR239C	0	0
YLR244C	0	0
YLR245C	0	0
YLR246W	0	0
YLR247C	0	0
YLR248W	0	0
YLR249W	0	0
YLR251W	0	0
YLR252W	0	0
YLR253W	0	0
YLR254C	0	0
YLR256W	0	0
YLR257W	0	0
YLR259C	0	0
YLR260W	0	0
YLR261C	0	0
YLR262C	0	0
YLR262C-A	0	0
YLR263W	0	0
YLR264W	0	0
YLR265C	0	0
YLR268W	0	0
YLR270W	0	0
YLR271W	0	0
YLR273C	0	0
YLR275W	0	0
YLR276C	0	0
YLR278C	0	0
YLR280C	0	0
YLR281C	0	0
YLR283W	0	0
YLR284C	0	0
YLR286C	0	0
YLR287C	0	0
YLR288C	0	0
YLR289W	0	0
YLR291C	0	0
YLR293C	0	0
YLR295C	0	0
YLR297W	0	0
YLR298C	0	0
YLR299W	0	0
YLR300W	0	0
YLR301W	0	0
YLR303W	0	0
YLR306W	0	0
YLR311C	0	0
YLR312C	0	0
YLR313C	0	0
